no,vowel,isPre,distance_to_target,distance_to_closest,closest_phoneme
3,ʊ,False,0.7955669529175764,12.015984556735118,u
3,u,False,0.18139513202510707,12.811084953612967,ʊ
4,i,False,1.9121162830001406,32.10830205948906,ɪ
4,ɪ,False,0.0633561213624041,8.133682488641739,ɛ
4,ɛ,False,0.2814911411945358,7.77816662044727,æ
4,æ,False,1.3106555202915344,22.313481264099405,ɛ
4,ʌ,False,0.23103180008388374,6.555203659499229,ɑ
4,ɑ,False,0.17992470938277907,8.020248522321761,ʌ
4,ɔ,False,0.7776022269185019,13.325014886765107,ʊ
4,ʊ,False,0.6411671936276276,5.294010148039027,u
4,u,False,0.04936291406948762,8.912337127048012,ʊ
5,i,False,0.868765156160781,25.925922872817296,ɪ
5,ɪ,False,0.10997597751432346,7.542068180254774,ɛ
5,ɛ,False,0.28031933532524606,6.828699719624285,æ
5,æ,False,0.7596992246467783,25.688023575638837,ɛ
5,ʌ,False,0.5947329711262751,9.277947140936087,ɑ
5,ɑ,False,2.795398137054616,3.069419388672428,ʌ
5,ɔ,False,0.43127850257222,15.488497733293013,ʊ
5,ʊ,False,1.9005704084905173,7.304929730108297,ɔ
5,u,False,0.5139223177685767,10.658940180974644,ɔ
6,i,False,2.1162120475946202,28.309010337158032,ɪ
6,ɪ,False,2.3275100609003294,12.866335013861088,i
6,ɛ,False,0.5065111502385957,5.267033119748385,æ
6,æ,False,1.0137759670677555,11.892694022374492,ɛ
6,ʌ,False,0.5812256008533826,4.315389446658219,ɑ
6,ɑ,False,1.6335625922809904,6.116438753443434,ɔ
6,ɔ,False,4.149938039009799,2.886887248501409,ɑ
6,ʊ,False,0.5700305920121685,7.7189356486860365,u
6,u,False,1.57596608086471,17.559237481234316,ɔ
7,i,False,0.8806751017648525,23.9084179428714,ɪ
7,ɪ,False,0.000432113423961305,8.413478995487436,ɛ
7,ɛ,False,3.1814647813725676,2.891905126990728,æ
7,æ,False,2.968978533630936,27.33151446074615,ɛ
7,ʌ,False,0.38098818161033265,10.311373769558333,ɑ
7,ɑ,False,3.633713508901204,3.48962269006162,ɔ
7,ɔ,False,2.8483266471002864,11.657422681294031,u
7,ʊ,False,0.9656860209493999,9.547106217895251,u
7,u,False,0.9860392424443376,7.050290874671477,ʊ
8,i,False,0.03835154268460061,20.040417757744464,ɪ
8,ɪ,False,5.474535100091209,8.398685251336605,i
8,ɛ,False,1.0943104075054886,7.985573190501227,æ
8,æ,False,3.6194564684376465,1.5666997101984477,ɛ
8,ʌ,False,0.9747968095837317,5.211482015378009,ɑ
8,ɑ,False,0.050932454217913065,9.423570475600037,ʌ
8,ɔ,False,1.6105049507591023,7.578733343384693,ɑ
8,ʊ,False,6.490501689782991,12.334080995050195,ʌ
8,u,False,0.2001123704515839,13.046470873888964,ɔ
9,i,False,2.4444625011750265,33.621700471716814,ɪ
9,ɪ,False,1.3268500697000214,6.559080455029971,ɛ
9,ɛ,False,1.4555148727960154,3.679043439389444,æ
9,æ,False,3.2889603867752646,1.8959831819658814,ɛ
9,ʌ,False,1.287933830849459,3.692482400046939,ɑ
9,ɑ,False,0.1673238236105675,10.773954178257831,ʌ
9,ɔ,False,1.3336723514700344,11.408927344036936,ɑ
9,ʊ,False,3.219636060213702,7.539939817017717,ɔ
